START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
03/28/24,06:35 PM,07:35 PM,Cubs at Rangers,Globe Life Field - Arlington,"Local TV: ESPN ----- Local Radio: 670 The Score",03/28/24,03/28/24,09:35 PM,10:35 PM,FALSE,TRUE,03/28/24,05:35 PM,06:35 PM,FREE,BUSY
03/30/24,06:05 PM,07:05 PM,Cubs at Rangers,Globe Life Field - Arlington,"Local TV: Marquee Sports Network ----- Local Radio: 670 The Score",03/30/24,03/30/24,09:05 PM,10:05 PM,FALSE,TRUE,03/30/24,05:05 PM,06:05 PM,FREE,BUSY
03/31/24,01:35 PM,02:35 PM,Cubs at Rangers,Globe Life Field - Arlington,"Local TV: Marquee Sports Network ----- Local Radio: 670 The Score",03/31/24,03/31/24,04:35 PM,05:35 PM,FALSE,TRUE,03/31/24,12:35 PM,01:35 PM,FREE,BUSY
04/01/24,01:20 PM,02:20 PM,Rockies at Cubs,Wrigley Field - Chicago,"Local TV: Marquee Sports Network- MLBN (out-of-market only) ----- Local Radio: 670 The Score- WRTO 1200",04/01/24,04/01/24,04:20 PM,05:20 PM,FALSE,TRUE,04/01/24,12:20 PM,01:20 PM,FREE,BUSY
04/02/24,06:40 PM,07:40 PM,Rockies at Cubs,Wrigley Field - Chicago,"Local TV: Marquee Sports Network ----- Local Radio: 670 The Score- MLB.com",04/02/24,04/02/24,09:40 PM,10:40 PM,FALSE,TRUE,04/02/24,05:40 PM,06:40 PM,FREE,BUSY
04/03/24,06:40 PM,07:40 PM,Rockies at Cubs,Wrigley Field - Chicago,"Local TV: Marquee Sports Network ----- Local Radio: 670 The Score- WRTO 1200",04/03/24,04/03/24,09:40 PM,10:40 PM,FALSE,TRUE,04/03/24,05:40 PM,06:40 PM,FREE,BUSY
04/05/24,01:20 PM,02:20 PM,Dodgers at Cubs,Wrigley Field - Chicago,"Local TV: Marquee Sports Network ----- Local Radio: 670 The Score- WRTO 1200",04/05/24,04/05/24,04:20 PM,05:20 PM,FALSE,TRUE,04/05/24,12:20 PM,01:20 PM,FREE,BUSY
04/06/24,03:05 PM,04:05 PM,Dodgers at Cubs,Wrigley Field - Chicago,"Local TV: Marquee Sports Network- FS1 ----- Local Radio: 670 The Score- WRTO 1200",04/06/24,04/06/24,06:05 PM,07:05 PM,FALSE,TRUE,04/06/24,02:05 PM,03:05 PM,FREE,BUSY
04/07/24,01:20 PM,02:20 PM,Dodgers at Cubs,Wrigley Field - Chicago,"Local TV: Marquee Sports Network ----- Local Radio: 670 The Score- WRTO 1200",04/07/24,04/07/24,04:20 PM,05:20 PM,FALSE,TRUE,04/07/24,12:20 PM,01:20 PM,FREE,BUSY
04/08/24,08:40 PM,09:40 PM,Cubs at Padres,Petco Park - San Diego,"Local TV: Marquee Sports Network ----- Local Radio: 670 The Score",04/08/24,04/09/24,11:40 PM,12:40 AM,FALSE,TRUE,04/08/24,07:40 PM,08:40 PM,FREE,BUSY
04/09/24,09:05 PM,10:05 PM,Cubs at Padres,Petco Park - San Diego,"Local TV: Marquee Sports Network- TBS (out-of-market only) ----- Local Radio: 670 The Score",04/10/24,04/10/24,12:05 AM,01:05 AM,FALSE,TRUE,04/09/24,08:05 PM,09:05 PM,FREE,BUSY
04/10/24,05:40 PM,06:40 PM,Cubs at Padres,Petco Park - San Diego,"Local TV: Marquee Sports Network ----- Local Radio: 670 The Score",04/10/24,04/10/24,08:40 PM,09:40 PM,FALSE,TRUE,04/10/24,04:40 PM,05:40 PM,FREE,BUSY
04/12/24,08:40 PM,09:40 PM,Cubs at Mariners,T-Mobile Park - Seattle,"Local TV: Apple TV+ ----- Local Radio: 670 The Score",04/12/24,04/13/24,11:40 PM,12:40 AM,FALSE,TRUE,04/12/24,07:40 PM,08:40 PM,FREE,BUSY
04/13/24,08:40 PM,09:40 PM,Cubs at Mariners,T-Mobile Park - Seattle,"Local TV: Marquee Sports Network- MLBN (out-of-market only) ----- Local Radio: 670 The Score",04/13/24,04/14/24,11:40 PM,12:40 AM,FALSE,TRUE,04/13/24,07:40 PM,08:40 PM,FREE,BUSY
04/14/24,03:10 PM,04:10 PM,Cubs at Mariners,T-Mobile Park - Seattle,"Local TV: Marquee Sports Network- MLBN (out-of-market only) ----- Local Radio: 670 The Score",04/14/24,04/14/24,06:10 PM,07:10 PM,FALSE,TRUE,04/14/24,02:10 PM,03:10 PM,FREE,BUSY
04/15/24,08:40 PM,09:40 PM,Cubs at D-backs,Chase Field - Phoenix,"Local TV: Marquee Sports Network ----- Local Radio: 670 The Score",04/15/24,04/16/24,11:40 PM,12:40 AM,FALSE,TRUE,04/15/24,07:40 PM,08:40 PM,FREE,BUSY
04/16/24,08:40 PM,09:40 PM,Cubs at D-backs,Chase Field - Phoenix,"Local TV: Marquee Sports Network ----- Local Radio: 670 The Score",04/16/24,04/17/24,11:40 PM,12:40 AM,FALSE,TRUE,04/16/24,07:40 PM,08:40 PM,FREE,BUSY
04/17/24,02:40 PM,03:40 PM,Cubs at D-backs,Chase Field - Phoenix,"Local TV: Marquee Sports Network ----- Local Radio: 670 The Score",04/17/24,04/17/24,05:40 PM,06:40 PM,FALSE,TRUE,04/17/24,01:40 PM,02:40 PM,FREE,BUSY
