START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
02/22/24,12:10 PM,03:10 PM,Dodgers at Padres,Peoria Stadium - Peoria,"Local TV: ESPN- SportsNet LA ----- Local Radio: Dodgers Radio AM570- KTNQ 1020",02/22/24,02/22/24,03:10 PM,06:10 PM,FALSE,TRUE,02/22/24,11:10 AM,02:10 PM,FREE,BUSY
02/23/24,01:08 PM,03:08 PM,Padres at Dodgers,Camelback Ranch - Glendale,"Local TV: SportsNet LA- ESPN ----- Local Radio: Dodgers Radio AM570- KTNQ 1020",02/23/24,02/23/24,04:08 PM,06:08 PM,FALSE,TRUE,02/23/24,12:08 PM,02:08 PM,FREE,BUSY
02/24/24,12:10 PM,03:10 PM,Dodgers at Angels,Tempe Diablo Stadium - Tempe,"Local TV: SportsNet LA ----- Local Radio: Dodgers Radio AM570- KTNQ 1020",02/24/24,02/24/24,03:10 PM,06:10 PM,FALSE,TRUE,02/24/24,11:10 AM,02:10 PM,FREE,BUSY
02/25/24,01:05 PM,03:05 PM,Athletics at Dodgers,Camelback Ranch - Glendale,"Local TV: SportsNet LA ----- Local Radio: Dodgers Radio AM570",02/25/24,02/25/24,04:05 PM,06:05 PM,FALSE,TRUE,02/25/24,12:05 PM,02:05 PM,FREE,BUSY
02/26/24,12:10 PM,03:10 PM,Dodgers at Rockies,Salt River Fields at Talking Stick - Scottsdale,"Local TV: SportsNet LA ----- Local Radio: Dodgers Radio AM570",02/26/24,02/26/24,03:10 PM,06:10 PM,FALSE,TRUE,02/26/24,11:10 AM,02:10 PM,FREE,BUSY
02/27/24,01:05 PM,03:05 PM,White Sox at Dodgers,Camelback Ranch - Glendale,"Local TV: SportsNet LA ----- Local Radio: Dodgers Radio AM570",02/27/24,02/27/24,04:05 PM,06:05 PM,FALSE,TRUE,02/27/24,12:05 PM,02:05 PM,FREE,BUSY
02/28/24,12:05 PM,03:05 PM,Dodgers at Rangers,Surprise Stadium - Surprise,"Local TV: SportsNet LA ----- Local Radio: Dodgers Radio AM570",02/28/24,02/28/24,03:05 PM,06:05 PM,FALSE,TRUE,02/28/24,11:05 AM,02:05 PM,FREE,BUSY
02/29/24,05:05 PM,08:05 PM,Dodgers at Reds,Goodyear Ballpark - Goodyear,"Local TV: SportsNet LA",02/29/24,02/29/24,08:05 PM,11:05 PM,FALSE,TRUE,02/29/24,04:05 PM,07:05 PM,FREE,BUSY
03/01/24,06:05 PM,08:05 PM,Guardians at Dodgers,Camelback Ranch - Glendale,"Local TV: SportsNet LA- MLBN (out-of-market only)",03/01/24,03/01/24,09:05 PM,11:05 PM,FALSE,TRUE,03/01/24,05:05 PM,07:05 PM,FREE,BUSY
03/02/24,12:10 PM,03:10 PM,Dodgers at Brewers,American Family Fields of Phoenix - Phoenix,"",03/02/24,03/02/24,03:10 PM,06:10 PM,FALSE,TRUE,03/02/24,11:10 AM,02:10 PM,FREE,BUSY
03/02/24,01:05 PM,03:05 PM,Cubs at Dodgers,Camelback Ranch - Glendale,"Local TV: SportsNet LA",03/02/24,03/02/24,04:05 PM,06:05 PM,FALSE,TRUE,03/02/24,12:05 PM,02:05 PM,FREE,BUSY
03/03/24,01:05 PM,03:05 PM,Rockies at Dodgers,Camelback Ranch - Glendale,"Local TV: SportsNet LA",03/03/24,03/03/24,04:05 PM,06:05 PM,FALSE,TRUE,03/03/24,12:05 PM,02:05 PM,FREE,BUSY
03/05/24,06:05 PM,08:05 PM,Angels at Dodgers,Camelback Ranch - Glendale,"Local TV: SportsNet LA ----- Local Radio: Dodgers Radio AM570",03/05/24,03/05/24,09:05 PM,11:05 PM,FALSE,TRUE,03/05/24,05:05 PM,07:05 PM,FREE,BUSY
03/06/24,12:05 PM,03:05 PM,Dodgers at White Sox,Camelback Ranch - Glendale,"Local TV: SportsNet LA",03/06/24,03/06/24,03:05 PM,06:05 PM,FALSE,TRUE,03/06/24,11:05 AM,02:05 PM,FREE,BUSY
03/09/24,01:05 PM,03:05 PM,Rangers at Dodgers,Camelback Ranch - Glendale,"Local TV: SportsNet LA ----- Local Radio: Dodgers Radio AM570",03/09/24,03/09/24,04:05 PM,06:05 PM,FALSE,TRUE,03/09/24,12:05 PM,02:05 PM,FREE,BUSY
03/10/24,01:05 PM,04:05 PM,D-backs at Dodgers,Camelback Ranch - Glendale,"Local TV: SportsNet LA ----- Local Radio: Dodgers Radio AM570",03/10/24,03/10/24,04:05 PM,07:05 PM,FALSE,TRUE,03/10/24,12:05 PM,03:05 PM,FREE,BUSY
03/11/24,01:05 PM,04:05 PM,Dodgers at Guardians,Goodyear Ballpark - Goodyear,"Local TV: SportsNet LA ----- Local Radio: Dodgers Radio AM570",03/11/24,03/11/24,04:05 PM,07:05 PM,FALSE,TRUE,03/11/24,12:05 PM,03:05 PM,FREE,BUSY
03/12/24,01:05 PM,04:05 PM,Giants at Dodgers,Camelback Ranch - Glendale,"Local TV: SportsNet LA ----- Local Radio: Dodgers Radio AM570",03/12/24,03/12/24,04:05 PM,07:05 PM,FALSE,TRUE,03/12/24,12:05 PM,03:05 PM,FREE,BUSY
