greMatch Number,Round Number,Date,Location,Home Team,Away Team,Result
6,1,17/08/2024 15:30,Camp de Mestalla,Valencia CF,FC Barcelona,
19,2,24/08/2024 20:00,Estadi Olímpic Lluís Companys,FC Barcelona,Athletic Club,
26,3,27/08/2024 20:00,Estadio de Vallecas,Rayo Vallecano,FC Barcelona,
32,4,31/08/2024 20:00,Estadi Olímpic Lluís Companys,FC Barcelona,Real Valladolid CF,
46,5,14/09/2024 20:00,Estadio Municipal de Montilivi,Girona FC,FC Barcelona,
56,6,21/09/2024 20:00,Estadio de la Cerámica,Villarreal CF,FC Barcelona,
61,7,24/09/2024 20:00,Estadi Olímpic Lluís Companys,FC Barcelona,Getafe CF,
75,8,28/09/2024 20:00,Estadio El Sadar,CA Osasuna,FC Barcelona,
83,9,05/10/2024 20:00,Mendizorroza,Deportivo Alavés,FC Barcelona,
92,10,19/10/2024 20:00,Estadi Olímpic Lluís Companys,FC Barcelona,Sevilla FC,
105,11,26/10/2024 20:00,Estadio Santiago Bernabéu,Real Madrid,FC Barcelona,
120,12,02/11/2024 20:00,Estadi Olímpic Lluís Companys,FC Barcelona,RCD Espanyol de Barcelona,
127,13,09/11/2024 19:00,Reale Arena,Real Sociedad,FC Barcelona,
136,14,23/11/2024 19:00,Estadio ABANCA Balaídos,RC Celta,FC Barcelona,
141,15,30/11/2024 19:00,Estadi Olímpic Lluís Companys,FC Barcelona,UD Las Palmas,
157,16,07/12/2024 19:00,Estadio Benito Villamarín,Real Betis,FC Barcelona,
162,17,14/12/2024 19:00,Estadi Olímpic Lluís Companys,FC Barcelona,CD Leganés,
178,18,21/12/2024 19:00,Estadi Olímpic Lluís Companys,FC Barcelona,Atlético de Madrid,
187,19,11/01/2025 19:00,Estadi Mallorca Son Moix,RCD Mallorca,FC Barcelona,
196,20,18/01/2025 19:00,Coliseum,Getafe CF,FC Barcelona,
203,21,25/01/2025 19:00,Estadi Olímpic Lluís Companys,FC Barcelona,Valencia CF,
220,22,01/02/2025 19:00,Estadi Olímpic Lluís Companys,FC Barcelona,Deportivo Alavés,
227,23,08/02/2025 19:00,Ramón Sánchez-Pizjuán,Sevilla FC,FC Barcelona,
232,24,15/02/2025 19:00,Estadi Olímpic Lluís Companys,FC Barcelona,Rayo Vallecano,
246,25,22/02/2025 19:00,Estadio Gran Canaria,UD Las Palmas,FC Barcelona,
251,26,01/03/2025 19:00,Estadi Olímpic Lluís Companys,FC Barcelona,Real Sociedad,
262,27,08/03/2025 19:00,Estadi Olímpic Lluís Companys,FC Barcelona,CA Osasuna,
271,28,15/03/2025 20:00,Civitas Metropolitano,Atlético de Madrid,FC Barcelona,
282,29,29/03/2025 20:00,Estadi Olímpic Lluís Companys,FC Barcelona,Girona FC,
291,30,05/04/2025 20:00,Estadi Olímpic Lluís Companys,FC Barcelona,Real Betis,
306,31,12/04/2025 20:00,Estadio Municipal Butarque,CD Leganés,FC Barcelona,
311,32,19/04/2025 20:00,Estadi Olímpic Lluís Companys,FC Barcelona,RC Celta,
323,33,22/04/2025 20:00,Estadi Olímpic Lluís Companys,FC Barcelona,RCD Mallorca,
336,34,03/05/2025 20:00,Estadio Municipal José Zorrilla,Real Valladolid CF,FC Barcelona,
342,35,10/05/2025 20:00,Estadi Olímpic Lluís Companys,FC Barcelona,Real Madrid,
352,36,13/05/2025 20:00,RCDE Stadium,RCD Espanyol de Barcelona,FC Barcelona,
362,37,17/05/2025 20:00,Estadi Olímpic Lluís Companys,FC Barcelona,Villarreal CF,
371,38,24/05/2025 20:00,Estadio San Mamés,Athletic Club,FC Barcelona,
